1.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,-0.3302278684542805,1.0,-0.13693063937629152,0.9258987934259639,-0.27602622373694163,0.8952384522531073,-0.2655425022718972,0.9520578032434435
2,0.07911770615722678,0.9258987934259639,-0.13508580673957482,1.0,0.30634581453209825,0.8976656233969146,0.31435789657976637,0.8594395636904109
3,-0.3751875265559711,0.8952384522531074,-0.6943375986180648,0.8976656233969146,-0.5524946201098299,0.9999999999999998,-0.3401666451646564,0.9495253559533845
4,-0.6794382139400922,0.9520578032434434,-0.8964214570007952,0.8594395636904109,-0.6776309271789384,0.9495253559533845,-0.584729075647938,1.0
23.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,-0.15780220939131873,1.0,-0.35371583185642447,0.9160293369867051,0.13988946279808198,0.9261656959505861,-0.029500434683076816,0.9722788247418492
2,0.720547870784476,0.9160293369867052,0.657793514480272,1.0,0.7894138927459854,0.8649113238368809,0.8621010001864529,0.8969385666089577
3,-0.36438536597615406,0.9261656959505861,-0.5954124672003106,0.8649113238368809,-0.6018040440546807,1.0,-0.3991271258507034,0.9455454174648185
4,-0.789679665350596,0.9722788247418493,-0.7089639980246173,0.8969385666089578,-0.9319873328108406,0.9455454174648185,-0.7726738767962151,1.0
24.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,-0.03558646808121675,1.0,0.19718442146205362,0.8106381981718681,-0.1323988565456781,0.8769142688987193,0.49567306235797903,0.7837734721672039
2,0.1584469717603087,0.8106381981718681,-0.40782369514309286,1.0,0.38585408471315463,0.5369924967695061,-0.42753655927906653,0.9066696049525549
3,0.018589487271419923,0.8769142688987192,0.07974522228288998,0.5369924967695061,-0.3395219320088034,1.0,0.39709926669069795,0.4884848105398053
4,-0.6175408000670112,0.7837734721672038,-0.25697375791399885,0.9066696049525548,-0.9171751755120959,0.4884848105398053,-0.19273790710857916,0.9999999999999999
25.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,0.3659911215290729,1.0,0.6820482925847124,0.7606388292556648,-0.36642547823953814,0.17657615445465866,0.7833186071025724,0.7989292535992287
2,0.1537350115670227,0.7606388292556648,-0.4850712500726659,0.9999999999999999,0.739356615400471,-0.39886201760873286,-0.4678354296640682,0.9708546475844324
3,0.7466533929465574,0.17657615445465866,0.9938837346736189,-0.39886201760873286,-0.35237553038259745,1.0,0.9677380366593402,-0.25330543449631393
4,-0.5754804415313747,0.7989292535992287,-0.11785113019775792,0.9708546475844323,-0.3178523913655668,-0.253305434496314,-0.24489106547402986,1.0
26.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,0.23688111724576197,1.0,0.6645449393998732,0.5726215724110881,-0.5957907939976824,-0.5466355579947345,0.834795233293696,0.3890251854173223
2,-0.09504969130435147,0.5726215724110881,-0.8211933496215006,0.9999999999999999,0.783926953715343,-0.988852489733772,-0.7955433366957516,0.7090205964850984
3,0.06082588744530996,-0.5466355579947344,0.29684129446281676,-0.9888524897337719,-0.16804523991415918,1.0,0.7961836955874442,-0.598747223797221
4,-0.7561334445873295,0.3890251854173223,-0.18510208800023104,0.7090205964850983,0.18503701110370127,-0.5987472237972209,-0.06196971660197944,1.0
27.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,0.35189739371148315,1.0,0.44247467062942025,0.06076319351330339,-0.1976547378408498,0.14326086298398757,0.898064745546326,0.4410731568944761
2,-0.26270724590783606,0.06076319351330339,-0.2980162862483566,0.9999999999999998,0.0656578751644018,-0.9601191239508828,-0.7136549453235765,0.36215905729610254
3,0.09582685610408653,0.14326086298398757,0.16174915980515767,-0.9601191239508828,-0.006550374479237351,1.0,0.8894432425653788,-0.12728337687333482
4,-0.21641435759122543,0.4410731568944762,-0.35455500704977755,0.3621590572961026,0.47620325536757613,-0.12728337687333482,0.37104037160560144,1.0
28.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,0.6081751796812559,0.9999999999999999,-0.2550306852253353,0.29387999901060397,0.6232502388407515,0.03285841835236551,0.6634034720037774,0.5423099374951661
